"test_premise","test_hypothesis","dynamic_examples_used","true_label","pred_label","response"
"Claude Chabrol a divorcé d'Agnès, sa première femme, pour épouser l'actrice Stéphane Audran. Sa troisième épouse est Aurore Paquiss.","Aurore Paquiss a épousé Chabrol.","Ex 1:
P: Hughes aimait sa femme, Gracia, et était absolument obsédé par sa petite fille Elicia.
H: Hughes était marié à Gracia.
L: 0

Ex 2:
P: Il est impossible pour Marlowe de quitter légalement l'Italie, surtout après qu'un mandat d'arrêt ait été lancé contre lui par les autorités. Aidé par Zaleshoff, il a réussi à s'échapper de Milan.
H: Marlowe a soutenu Zaleshoff.
L: 1

Ex 3:
P: Il est impossible pour Marlowe de quitter légalement l'Italie, surtout après qu'un mandat d'arrêt ait été lancé contre lui par les autorités. Aidé par Zaleshoff, il a réussi à s'échapper de Milan.
H: Marlowe a été arrêté par les autorités italiennes.
L: 2

Ex 4:
P: Geneviève de Gaulle-Anthonics, 81 ans, nièce de défunt Charles de Gaulle, est décédée à Paris le 14 février 2002. Elle a rejoint la résistance française lorsque les Allemands ont occupé Paris.
H: Charles de Gaulle est mort en 1970.
L: 1

Ex 5:
P: Avant cela, Andy Sipowicz a commencé à fréquenter l'assistante de procureur Sylvia Costas. Ils se sont mariés en 1995 et ont eu un fils, Theo, en 1996.
H: Sylvia Costas est la femme d'Andy Sipowicz.
L: 0","0","0","entailment"
"Le Parti communiste américain était un petit parti politique maoïste qui a été fondé en 1965 par des membres du Parti communiste autour de Michael Laski qui a pris le parti de la Chine dans la scission sino-soviétique.","Michael Laski était un opposant à la Chine.","Ex 1:
P: En novembre 1990, le président a annoncé que les partis politiques d'opposition seraient autorisés à s'organiser en 1991. Plusieurs nouveaux partis ont émergé, notamment le Mouvement démocratique républicain (MDR), le Parti libéral (LP), le Parti démocratique et socialiste (PSD) et la Coalition pour la défense de la République (CDR).
H: Plusieurs nouveaux partis politiques ont émergé.
L: 0

Ex 2:
P: L'ancien président taïwanais Lee Teng-hui, le chef spirituel du TSU, parti indépendantiste, et le premier ministre Frank Hsieh, membre du Parti démocratique progressiste, participent également à la marche.
H: Chen Shui-bian est le nouveau président de Taïwan.
L: 1

Ex 3:
P: Gabriel Garcia Marquez était un penseur libéral dont la politique de gauche a mis en colère de nombreux politiciens et chefs d'État conservateurs. Son emploi de reporter pour l'agence de presse cubaine Prensa Latina, en 1960, et son amitié avec Fidel Castro lui ont valu de se voir finalement refuser l'entrée aux États-Unis pour des raisons politiques.
H: Gabriel Garcia Marquez était un homme politique conservateur.
L: 2

Ex 4:
P: Les partis politiques en PNG manquent de conviction idéologique et s'appuient presque exclusivement sur la politique de patronage, le personnalisme et les bases régionales. Plusieurs partis ont émergé dans la politique de la Papouasie-Nouvelle-Guinée. Dans la Chambre d'assemblée élue en 1973, le Pangu Pati, dirigé par Michael Somare, a formé un gouvernement de coalition avec le Parti du progrès populaire, et Somare est devenu premier ministre.
H: Plusieurs nouveaux partis politiques ont émergé.
L: 0

Ex 5:
P: Zhao a été démis de ses fonctions de secrétaire général du parti communiste chinois et assigné à résidence en 1989 après avoir dénoncé l'usage de la force contre les étudiants protestataires de la place Tiananmen.
H: Zhao était membre du parti communiste.
L: 0","2","2","contradiction"
"Sandra Goudie a été élue pour la première fois au Parlement lors des élections de 2002, remportant de justesse le siège de Coromandel en battant le candidat travailliste Max Purnell et en poussant la députée verte sortante Jeanette Fitzsimons à la troisième place.","Sandra Goudie a été battue par Max Purnell.","Ex 1:
P: Les électeurs du centre-gauche en Italie ont choisi Romano Prodi comme candidat qui défiera le Premier ministre Silvio Berlusconi lors des élections de l'année prochaine. L'ancien président de la Commission européenne et PM italien a remporté 73,5% des voix, selon les résultats partiels des primaires.
H: Romano Prodi remporte les primaires italiennes.
L: 0

Ex 2:
P: LISBON, 22 janvier (Xinhuanet) -- Anibal Cavaco Silva, un ancien Premier ministre, a remporté l'élection présidentielle du Portugal dimanche.
H: Un nouveau premier ministre portugais est élu.
L: 2

Ex 3:
P: Lors des élections générales de mai 2005, Michael Howard n'a pas réussi à détrôner le gouvernement travailliste, bien que les conservateurs aient remporté 33 sièges, jouant le rôle le plus important dans la réduction de la majorité travailliste de 167 à 66.
H: Lors des élections générales de mai 2005, les conservateurs ont obtenu 33 sièges.
L: 1

Ex 4:
P: Bien qu'il ait gagné avec la plus faible majorité jamais enregistrée par le parti au pouvoir, 48,7% des voix, ses bulletins de vote ont presque doublé ceux de l'outsider Diego Fernandez de Cevallos, le dauphin de la droite. Et les initiés sont désormais favoris pour remporter d'autres élections latino-américaines dans les mois à venir : au Brésil, Fernando Henrique Cardoso, un ancien leader du Sénat et ministre du Cabinet, devrait terminer devant l'outsider Luis Inacio (Lula) da Silva, un ancien leader travailliste de gauche, au premier tour de la présidentielle.
H: Fernando Henrique Cardoso est un ancien leader du Sénat et ministre du Cabinet brésilien.
L: 0

Ex 5:
P: 4 février 2005, Irak. Avec plus des deux tiers des 3,3 millions de votes comptés dans l'élection législative irakienne, l'Alliance irakienne unie a une avance considérable sur la Liste irakienne du Premier ministre irakien par intérim Iyad Allawi, qui traîne avec environ 17% du décompte actuel.
H: Les premières élections libres en Irak ont eu lieu en janvier 2005.
L: 1","2","2","contradiction"
"Le premier grand rôle de Minton en Angleterre fut celui de Maggie Dempster dans la première du One Man Show de Nicholas Maw. Peu de temps après, elle est devenue un membre régulier de la compagnie de l'Opéra royal de Covent Garden.","Maggie Dempster était un membre de la compagnie du Royal Opera House Covent Garden.","Ex 1:
P: Elizabeth Alexandra Mary est née le 21 avril 1926 à Londres, en Angleterre. Son père, le prince Albert, duc d'York, était le deuxième fils du roi George V. Sa mère, l'ancienne Elizabeth Bowes-Lyon, était la fille d'un comte écossais. La princesse Elizabeth est leur premier enfant. Sa seule sœur, Margaret Rose, est née en 1930.
H: Le père d'Elizabeth II était George VI.
L: 2

Ex 2:
P: Loraine, en plus de participer à la pièce Dreamgirls de Broadway, a également participé à la production Off-Broadway de ""Does A Tiger Have A Necktie"". En 1999, Loraine s'est rendue à Londres, au Royaume-Uni. Elle y a participé à la production de ""RENT"", où elle a été distribuée comme ""Mimi"" la doublure.
H: ""Does A Tiger Have A Necktie"" a été produit à Londres.
L: 1

Ex 3:
P: Sa Majesté la reine Elizabeth II est née à Londres le 21 avril 1926, premier enfant du duc et de la duchesse d'York, devenus par la suite le roi George VI et la reine Elizabeth. Cinq semaines plus tard, elle est baptisée dans la chapelle du palais de Buckingham et reçoit les noms d'Elizabeth Alexandra Mary Windsor. La Reine monte sur le trône le 6 février 1952 à la mort de son père, le roi George VI. Son couronnement suit le 2 juin 1953.
H: Le père d'Elizabeth II était George VI.
L: 0

Ex 4:
P: Malheureusement, une visite de Mme Hobday, entraîne le départ de M. Browne pour Londres.
H: Mme Hobday quitte Londres.
L: 1

Ex 5:
P: Parmi les plus ardents partisans de Stellafane figure David H. Levy, codécouvreur avec le Dr Eugene Shoemaker d'une comète portant leur nom qui s'est brisée en 1994 alors qu'elle était attirée vers Jupiter, créant un feu d'artifice visible depuis la Terre.
H: La comète Shoemaker-Levy a été découverte par Shoemaker, sa femme, Carolyn, et un astronome David H. Levy.
L: 1","2","1","neutral"
"Marcel Beaubien a tenté sans succès de se faire élire à la Chambre des communes du Canada comme candidat conservateur dans la circonscription fédérale de Sarnia-Lambton en 2004.","Marcel Beaubien a été élu à la Chambre des communes du Canada.","Ex 1:
P: L'accord sur les revendications territoriales doit encore être approuvé par la Chambre des communes canadienne, mais il est déjà passé par la Chambre d'assemblée de Terre-Neuve-et-Labrador.
H: La Chambre d'assemblée de Terre-Neuve-et-Labrador vote contre l'accord sur les revendications territoriales.
L: 2

Ex 2:
P: En plus de la création de la commission électorale, les lois concernent également la nationalité, une question litigieuse depuis que les lois sur la citoyenneté ont été durcies pour exclure l'un des principaux concurrents de Gbagbo dans la course à la présidentielle de 2000, l'ancien Premier ministre Alassane Ouattara.
H: Gbagbo est un concurrent de Ouattara.
L: 0

Ex 3:
P: Le Canada est officiellement un pays bilingue mais, avec près de 60% de la population parlant l'anglais comme langue maternelle, et seulement 24% parlant le français comme première langue, certains se demandent si le Canada est vraiment une nation bilingue ou plutôt, une nation bilingue sur papier seulement. Le français n'est pas la seule minorité linguistique au Canada, et certaines des langues parlées, par ordre de popularité, sont le chinois, l'italien, l'allemand, le polonais, l'espagnol, le portugais, le punjabi, l'ukrainien, l'arabe, le néerlandais, le tagalog, le grec, le vietnamien, le cri et l'inuktitut.
H: Le français est la langue la plus parlée au Québec.
L: 1

Ex 4:
P: Les membres démocrates de la commission des voies et moyens, où les projets de loi fiscale sont rédigés et avancés, n'ont pas de solides antécédents de vote pour les petites entreprises.
H: Les membres démocrates ont eu des solides antécédents de vote pour les petites entreprises.
L: 2

Ex 5:
P: Lors des élections générales de mai 2005, Michael Howard n'a pas réussi à détrôner le gouvernement travailliste, bien que les conservateurs aient remporté 33 sièges, jouant le rôle le plus important dans la réduction de la majorité travailliste de 167 à 66.
H: Lors des élections générales de mai 2005, les conservateurs ont obtenu 33 sièges.
L: 1","2","2","contradiction"
"En 1956, Accardo a remporté le concours de Genève et en 1958 est devenu le premier lauréat du concours Paganini à Gênes. Il a enregistré les célèbres 24 Caprices de Paganini (réenregistrés en 1999) pour violon seul et a été le premier à enregistrer tous les six Concertos pour violon de Paganini.","Accardo a composé 24 Caprices.","Ex 1:
P: Accardo a fondé les Settimane Musicali Internazionali à Naples et le Festival des cordes de Crémone en 1971, et en 1996, il a refondé l'Orchestra da Camera Italiana (O.C.I.), dont les membres sont les meilleurs élèves de l'Académie Walter Stauffer.
H: Accardo était membre de l'Académie Walter Stauffer.
L: 1

Ex 2:
P: Franz Liszt, un compositeur hongrois qui a vécu de 1811 à 1886 était l'équivalent d'une rock star à son époque. Ses compositions pour piano étaient extrêmement populaires et il donnait souvent des concerts pour sa multitude de fans. Liszt a également été le pionnier de nombreuses techniques musicales, notamment le poème symphonique et la technique de transformation des thèmes.
H: Franz Liszt a vécu de 1811 à 1886.
L: 0

Ex 3:
P: Tintin, les Schtroumpfs, Boule et Bill, Astérix, Natacha, Spirou et d'autres personnages légendaires ont été créés par des artistes talentueux comme Hergé, Morris, Franquin et Walthéry.
H: Spirou a été créé par Rob-Vel.
L: 2

Ex 4:
P: Se tenant à l'écart, voyant tout et entendant la musique de Mozart, que lui seul comprend comme une manifestation de l'amour de Dieu, se trouve Antonio Salieri, l'ambitieux compositeur et chef d'orchestre d'origine italienne, favori de la cour impériale de Vienne en 1781.
H: Wolfgang Amadeus Mozart est né à Salzbourg.
L: 1

Ex 5:
P: Le réalisateur italien Federico Fellini était plus âgé que ses pairs américains lors de sa première nomination et, comme d'autres étrangers, n'avait pas été nommé pour ses précédents chefs-d'œuvre, ""La Strada"" et ""Les Nuits de Cabiria"", bien que ces deux films aient remporté le meilleur film en langue étrangère en 1956 et 1957, respectivement. Fellini a ensuite reçu un Oscar d'honneur en 1993, qui était essentiellement un geste compensatoire.
H: Un réalisateur italien reçoit un Oscar d'honneur.
L: 0","1","2","contradiction"
"En 1956, Accardo a remporté le concours de Genève et en 1958 est devenu le premier lauréat du concours Paganini à Gênes.","Accardo a remporté le concours Paganini de Gênes.","Ex 1:
P: Accardo a fondé les Settimane Musicali Internazionali à Naples et le Festival des cordes de Crémone en 1971, et en 1996, il a refondé l'Orchestra da Camera Italiana (O.C.I.), dont les membres sont les meilleurs élèves de l'Académie Walter Stauffer.
H: Accardo était membre de l'Académie Walter Stauffer.
L: 1

Ex 2:
P: Les électeurs du centre-gauche en Italie ont choisi Romano Prodi comme candidat qui défiera le Premier ministre Silvio Berlusconi lors des élections de l'année prochaine. L'ancien président de la Commission européenne et PM italien a remporté 73,5% des voix, selon les résultats partiels des primaires.
H: Romano Prodi remporte les primaires italiennes.
L: 0

Ex 3:
P: Le réalisateur oscarisé Franco Zeffirelli a été nommé chevalier honoraire pour ses ""précieux services rendus aux arts du spectacle britanniques"".
H: Un réalisateur italien reçoit un Oscar honorifique.
L: 2

Ex 4:
P: La plus haute juridiction italienne a confirmé le verdict d'un tribunal qui a partiellement blanchi l'ancien Premier ministre Giulio Andreotti de toute collusion avec la mafia.
H: Andreotti est accusé de collusion avec la mafia.
L: 0

Ex 5:
P: Victor Emmanuel est né le 11 novembre 1869 à Naples. Après l'assassinat de son père, Umberto I, en 1900, Victor Emmanuel succède au trône.
H: Victor Emmanuel III a été roi d'Italie de 1900 à 1946.
L: 1","0","0","entailment"
"David Golinkin est l'éditeur ou l'auteur de dix-huit livres, et de plus de 150 responsa, articles, sermons et ouvrages.","Golinkin a écrit dix-huit livres.","Ex 1:
P: Heaney a rejoint ""un groupe distingué d'Irlandais qui ont été honorés par ce prix pour leur contribution à la littérature irlandaise du vingtième siècle"".
H: Heaney a reçu le prix Nobel de littérature en 1995.
L: 1

Ex 2:
P: Un ancien professeur de philosophie dont le roman le plus connu, Le Monde de Sophie, est étonnamment devenu un best-seller international
H: Le Monde de Sophie est un best-seller.
L: 0

Ex 3:
P: En attendant, lors d'un festival Pouchkine-Goethe qui s'est tenu récemment à Moscou pour célébrer les anniversaires des poètes (cette année, c'est le 250e de Goethe), Dmitri Prigov, un poète post-moderniste et artiste conceptuel, a repris la première ligne d'""Onéguine"" (""Mon oncle - de grands idéaux l'inspirent"") et l'a mise en musique avec des mantras bouddhistes et musulmans et des chants orthodoxes russes et grégoriens.
H: Johann Wolfgang von Goethe est né en Allemagne.
L: 1

Ex 4:
P: Franz Liszt (hongrois : Liszt Ferenc) était un pianiste virtuose et compositeur hongrois/autrichien qui a vécu de 1811 à 1886. Liszt est largement considéré comme l'un des plus grands virtuoses du piano de tous les temps, et certainement le plus célèbre du XIXe siècle.
H: Franz Liszt a vécu de 1811 à 1886.
L: 0

Ex 5:
P: Le journal norvégien Dagbladet a imprimé un article sur la ""page de l'intolérance"".
H: Dagbladet est un journal norvégien.
L: 0","1","0","entailment"
"David Golinkin est à lui seul responsable de la découverte et de la republication de dizaines de responsa du Comité sur la loi et les normes juives de l'Assemblée rabbinique, les mettant à la disposition du grand public dans un ensemble de trois volumes.","David Golinkin est l'auteur de dizaines de responsa du Comité sur la loi et les normes juives de l'Assemblée rabbinique.","Ex 1:
P: En attendant, lors d'un festival Pouchkine-Goethe qui s'est tenu récemment à Moscou pour célébrer les anniversaires des poètes (cette année, c'est le 250e de Goethe), Dmitri Prigov, un poète post-moderniste et artiste conceptuel, a repris la première ligne d'""Onéguine"" (""Mon oncle - de grands idéaux l'inspirent"") et l'a mise en musique avec des mantras bouddhistes et musulmans et des chants orthodoxes russes et grégoriens.
H: Johann Wolfgang von Goethe est né en Allemagne.
L: 1

Ex 2:
P: Même en acceptant le plan russe, le directeur général du FMI, Michel Camdessus, a noté que l'efficacité du service des impôts de l'État russe ""décline rapidement"". 
H: Michel Camdessus est directeur général du FMI.
L: 0

Ex 3:
P: Le chef de VW a été soumis à une pression intense de la part du gouvernement de Bonn et de ses collègues de l'industrie allemande pour rechercher une conciliation après ses déclarations franches de l'an dernier, qui ont été largement considérées comme portant atteinte à la réputation de l'Allemagne.
H: L'Allemagne s'inquiète de l'effet des enquêtes judiciaires sur les affaires économiques et politiques intérieures.
L: 1

Ex 4:
P: Depuis 1982 Chancelier fédéral (élu par ""vote constructif de défiance"" contre l'ancien chancelier Helmut Schmidt, Parti social-démocrate (SPD) ; réélu en 1983, 1987, 1991 et 1994). Helmut Kohl devient ainsi le plus ancien chancelier de la République fédérale, passant devant Konrad Adenauer, le premier chancelier, en octobre dernier.
H: Le nom du parti politique d'Helmut Kohl est l'Union chrétienne-démocrate.
L: 1

Ex 5:
P: L'ancien chancelier Helmut Kohl, qui a stupéfié les Allemands en admettant qu'il avait utilisé des comptes bancaires illégaux pour acheminer de l'argent secret au parti chrétien-démocrate, invoque son honneur personnel pour refuser de divulguer les noms des personnes qui ont donné plus d'un million de dollars entre 1993 et 1998 ; le scandale menace de réduire à néant la place de Kohl dans l'histoire pour avoir réunifié l'Allemagne et conduit l'Europe vers une monnaie commune.
H: Le nom du parti politique d'Helmut Kohl est l'Union chrétienne-démocrate.
L: 1","2","1","neutral"
"Au cours des 24 saisons de Reinsdorf en tant que président des White Sox, l'équipe a remporté trois fois le championnat de division de la Ligue américaine, dont un titre AL Central en 2000.","Les White Sox ont remporté 24 championnats.","Ex 1:
P: Jerry Reinsdorf (né le 25 février 1936 à Brooklyn, New York) est le propriétaire des Chicago White Sox et des Chicago Bulls. Récemment, il a aidé les White Sox à remporter les World Series de 2005 et, dans le processus, a recueilli sa septième bague de championnat au total (les six premières étaient toutes avec les Bulls dans les années 1990), devenant le troisième propriétaire dans l'histoire des sports nord-américains à gagner un championnat dans deux sports différents.
H: Jerry Reinsdorf a remporté 7 championnats.
L: 0

Ex 2:
P: À peu près à cette époque, White a décidé qu'il n'accepterait plus de prix pour son travail. Il a refusé à la fois le prix Britannia de 10.000 $ et un autre prix Miles Franklin.
H: White a reçu le prix Britannia de 10.000 $.
L: 2

Ex 3:
P: Aux Jeux olympiques de 1932 à Los Angeles, Didrikson remporte des médailles d'or au javelot (record olympique) et aux 80 mètres haies (record du monde), ainsi qu'une médaille d'argent au saut en hauteur (part du record du monde).
H: 2,45 m est le record du monde du saut en hauteur.
L: 1

Ex 4:
P: Chicago White Sox Charities fournit également un soutien annuel continu à des programmes tels que Special Olympics et Inner City Little League.
H: La Inner City Little League est parrainée par les Chicago White Sox Charities.
L: 0

Ex 5:
P: White a soutenu le gouvernement travailliste de Gough Whitlam de 1972 à 1975, et après l'éviction de Whitlam lors de la crise constitutionnelle de 1975, est devenu particulièrement anti-royaliste.
H: White a aidé le gouvernement travailliste de 1972 à 1975.
L: 0","2","2","contradiction"
