"test_premise","test_hypothesis","dynamic_examples_used","true_label","pred_label","response"
"Trois personnes sont debout à côté d'un membre d'arbre","Deux enfants sont suspendus à une grande branche","Ex 1:
P: Deux enfants et un adulte sont debout à côté d'un membre d'arbre
H: Deux enfants sont suspendus à une grande branche
L: 1

Ex 2:
P: Deux enfants et un adulte sont debout à côté d'un membre d'arbre
H: Deux enfants et un adulte ne sont pas debout à côté d'un membre d'arbre
L: 2

Ex 3:
P: Un homme ramasse un arbre
H: Un arbre est ramassé par un homme
L: 0

Ex 4:
P: Deux enfants et un adulte sont debout à côté d'un membre d'arbre
H: Deux enfants grimpent à un arbre
L: 1

Ex 5:
P: Un homme ramasse un arbre
H: Un homme fait tomber un arbre
L: 1","1","1","neutral"
"Trois jeunes hommes courent furieusement, sautent et donnent des coups de pied près d'un distributeur automatique","Trois jeunes hommes courent, sautent et donnent des coups de pied près d'un distributeur automatique","Ex 1:
P: Trois jeunes hommes courent, sautent et donnent des coups de pied près d'un distributeur automatique
H: Trois hommes sautent sur un mur
L: 1

Ex 2:
P: Un garçon saute d'une plate-forme et deux autres garçons sont debout et regardent
H: Un garçon saute d'une plate-forme et deux autres garçons sont debout et le regardent
L: 0

Ex 3:
P: Un garçon saute d'une plate-forme et deux autres garçons sont debout et regardent
H: Personne ne saute d'une plate-forme
L: 2

Ex 4:
P: Trois hommes sautent d'un mur
H: Trois jeunes hommes courent, sautent et donnent des coups de pied près d'un distributeur automatique
L: 1

Ex 5:
P: Trois garçons sautent d'une plate-forme
H: Un garçon saute d'une plate-forme et deux autres garçons sont debout et le regardent
L: 1","0","0","entailment"
"La dame orientale coupe une carotte en morceaux minces","La dame orientale coupe une carotte en morceaux minces","Ex 1:
P: La dame orientale coupe une carotte en morceaux minces
H: La dame orientale ne coupe pas une carotte en morceaux minces
L: 2

Ex 2:
P: Une mince dame est en train de reconstituer des coupes de carottes orientales
H: La dame orientale coupe une carotte en morceaux minces
L: 1

Ex 3:
P: La dame orientale coupe une carotte en morceaux minces
H: Une femme tranche une carotte
L: 0

Ex 4:
P: Une femme tranche une carotte
H: Une femme coupe une carotte
L: 0

Ex 5:
P: Une femme range une carotte
H: Une femme tranche une carotte
L: 1","0","0","entailment"
"L'homme joue du piano avec son nez","Il n'y a pas d'homme qui joue du piano avec son nez","Ex 1:
P: Il n'y a pas d'homme qui joue du piano avec son nez
H: Un homme joue du clavier avec son nez
L: 2

Ex 2:
P: L'homme joue du piano avec son nez
H: Un homme joue du clavier avec son nez
L: 0

Ex 3:
P: Quelqu'un joue du piano
H: Une personne ne joue pas du clavier
L: 1

Ex 4:
P: L'homme joue drôlement du piano avec son nez
H: L'homme joue du piano avec son nez
L: 0

Ex 5:
P: L'homme joue drôlement du piano avec son nez
H: Un homme joue du clavier avec son nez
L: 0","2","2","contradiction"
"Un homme danse avec un chapeau dur usé","Un homme porte un chapeau dur et danse","Ex 1:
P: L'homme avec un chapeau dur danse
H: Un homme porte un chapeau dur et danse
L: 0

Ex 2:
P: Un homme porte un chapeau dur et danse
H: Il n'y a pas d'homme avec un chapeau dur dansant
L: 2

Ex 3:
P: Un homme porte un chapeau dur et danse
H: Un homme est nu et se tient immobile
L: 1

Ex 4:
P: Un homme porte un chapeau dur et danse
H: Un homme avec un chapeau dur danse
L: 0

Ex 5:
P: Un homme avec un chapeau dur danse
H: L'homme avec un chapeau dur danse
L: 0","1","0","entailment"
"Un homme danse avec un chapeau dur usé","Un homme avec un chapeau dur danse","Ex 1:
P: Un homme avec un chapeau dur danse
H: L'homme avec un chapeau dur danse
L: 0

Ex 2:
P: Un homme porte un chapeau dur et danse
H: Il n'y a pas d'homme avec un chapeau dur dansant
L: 2

Ex 3:
P: Un homme porte un chapeau dur et danse
H: Un homme est nu et se tient immobile
L: 1

Ex 4:
P: Un homme porte un chapeau dur et danse
H: Un homme avec un chapeau dur danse
L: 0

Ex 5:
P: L'homme avec un chapeau dur danse
H: Un homme porte un chapeau dur et danse
L: 0","0","0","entailment"
"Un train jouet frappe une voiture jouet","Il n'y a pas de train jouet frappant une voiture jouet","Ex 1:
P: Un train jouet frappe une voiture jouet
H: Un train de jouets heurte une voiture jouet
L: 0

Ex 2:
P: Un enfant est assis dans une voiture jouet rouge et jaune
H: Il n'y a pas d'enfant assis dans une voiture jouet rouge et jaune
L: 2

Ex 3:
P: Quelqu'un joue avec un crapaud
H: Quelqu'un joue avec une grenouille
L: 1

Ex 4:
P: Un bébé ne joue pas avec une poupée
H: Un bébé joue avec une poupée
L: 2

Ex 5:
P: Il n'y a pas d'homme chevauchant un taureau mécanique
H: L'homme chevauche un taureau mécanique
L: 2","2","2","contradiction"
"La femme ne verse pas d'huile dans la casserole","La femme verse de l'huile dans la casserole","Ex 1:
P: La femme verse de l'huile dans la casserole
H: L'huile est versée dans la casserole par la femme
L: 0

Ex 2:
P: Une femme ne fait pas frire de la nourriture
H: Une femme fait frire de la nourriture
L: 2

Ex 3:
P: Une femme ne fait pas frire de la viande
H: Une femme met de la nourriture dans une casserole d'eau chaude
L: 1

Ex 4:
P: Une personne verse de l'huile de cuisson dans une casserole
H: Une personne verse de l'huile d'olive dans le poêle à partir d'une casserole
L: 1

Ex 5:
P: Il n'y a pas de femme qui fait frire la nourriture
H: Une femme fait frire la nourriture
L: 2","2","2","contradiction"
"Un homme sur une moto est monté sur une roue","Une personne exécute des tours sur une moto","Ex 1:
P: Un homme sur une moto est monté sur une roue
H: Une personne effectue des acrobaties sur une moto
L: 0

Ex 2:
P: Une personne exécute des tours sur une moto
H: Un homme sur une moto ne roule pas sur une seule roue
L: 1

Ex 3:
P: Un homme sur une moto fait un tour
H: Une personne exécute des tours sur une moto
L: 0

Ex 4:
P: La personne monte une moto sur une piste sablonneuse
H: Un homme est à moto dans l'événement lié au motocross
L: 1

Ex 5:
P: La personne monte une moto sur une piste sablonneuse
H: Un homme soulève des haltères
L: 1","0","0","entailment"
"Une grande ville supplie les hommes et les détenteurs d'argent","Un sans-abri brandit une pancarte et demande de l'argent","Ex 1:
P: Un sans-abri brandit une pancarte et demande de l'argent
H: Un homme dans une petite ville fait un travail de charité
L: 1

Ex 2:
P: Un sans-abri brandit une pancarte et demande de l'argent
H: Un sans-abri brandit un panneau et implore pitoyablement de l'argent
L: 0

Ex 3:
P: Un homme dans une grande ville tient une pancarte et demande de l'argent
H: Un sans-abri pose un signe et refuse une charité
L: 1

Ex 4:
P: Un sans-abri brandit une pancarte et demande de l'argent
H: La femme et l'homme voyagent en voiture
L: 1

Ex 5:
P: Un homme dans une grande ville tient une pancarte et demande de l'argent
H: Un homme dans une petite ville fait un travail de charité
L: 1","1","0","entailment"
