"test_premise","test_hypothesis","dynamic_examples_used","true_label","pred_label","response"
"Le jeu de basket-ball se compose d'une balle étant trempée par un homme avec un maillot","Un homme avec un maillot trempe le ballon lors d'un match de basket-ball","Ex 1:
P: Un homme avec un maillot trempe le ballon lors d'un match de basket-ball
H: La balle est trempée par un homme avec un maillot lors d'un match de basket-ball
L: 0

Ex 2:
P: Un homme avec un maillot trempe le ballon lors d'un match de basket-ball
H: Un homme qui joue dunks le basket dans le filet et une foule est en arrière-plan
L: 1

Ex 3:
P: Il n'y a pas de basketteur sur le terrain et personne ne saisit la balle
H: Deux joueurs de basket-ball se bousculent pour le ballon sur le terrain
L: 2

Ex 4:
P: Le joueur plonge le basket dans le filet et une foule est en arrière-plan
H: Un homme avec un maillot trempe le ballon lors d'un match de basket-ball
L: 1

Ex 5:
P: Un joueur de basket-ball est sur le terrain et un autre attrape la balle
H: Un joueur de basket-ball est sur le terrain et le ballon est saisi par un autre.
L: 0","0","-1","Okay, let's try to figure out the label for this example. The"
"Il n'y a pas d'homme qui trempe la balle dans un match de basket-ball","Le joueur plonge le basket dans le filet et une foule est en arrière-plan","Ex 1:
P: Un homme avec un maillot trempe le ballon lors d'un match de basket-ball
H: Un homme qui joue dunks le basket dans le filet et une foule est en arrière-plan
L: 1

Ex 2:
P: Il n'y a pas de basketteur sur le terrain et personne ne saisit la balle
H: Deux joueurs de basket-ball se bousculent pour le ballon sur le terrain
L: 2

Ex 3:
P: Un homme avec un maillot trempe le ballon lors d'un match de basket-ball
H: La balle est trempée par un homme avec un maillot lors d'un match de basket-ball
L: 0

Ex 4:
P: Le joueur plonge le basket dans le filet et une foule est en arrière-plan
H: Un homme avec un maillot trempe le ballon lors d'un match de basket-ball
L: 1

Ex 5:
P: Un joueur de basket-ball est sur le terrain et un autre attrape la balle
H: Un joueur de basket-ball est sur le terrain et le ballon est saisi par un autre.
L: 0","2","-1","Okay, let's try to figure out the label for this example. The"
"Une petite fille regarde une femme en costume","Une jeune fille regarde une femme en costume","Ex 1:
P: Une petite fille regarde une femme en costume
H: Les gens regardent des costumes rassemblés dans les environs de la forêt
L: 1

Ex 2:
P: Les enfants sont habillés en costumes et jouent à un jeu
H: Les enfants sont habillés en costumes et jouent à un jeu
L: 0

Ex 3:
P: Une femme en robe blanche et une femme en robe bleue sont debout sur une scène
H: Deux filles dans leur adolescence portent des robes de fantaisie lors d'un événement
L: 1

Ex 4:
P: Une petite fille regarde une femme en costume
H: Les gens portant des costumes se dispersent dans une forêt et regardent dans différentes directions
L: 1

Ex 5:
P: Une fille entoure des enfants habillés en brun qui ferment les yeux
H: Une fille en robe brune est entourée d'enfants et ferme les yeux
L: 1","0","-1","Okay, let me try to figure out the label for this example. So"
"Un joueur court avec la balle","Le football est joué par deux équipes en compétition","Ex 1:
P: Un joueur court avec la balle
H: Deux équipes participent à un match de football
L: 1

Ex 2:
P: Un joueur de football marque un but
H: Les joueurs de football frappent un ballon de football dans le but
L: 0

Ex 3:
P: Deux groupes de personnes jouent au football
H: Un joueur court avec la balle
L: 1

Ex 4:
P: Deux équipes jouent au football
H: Différents joueurs de football font équipe sur un terrain
L: 1

Ex 5:
P: Un ballon de football est en train de rouler dans un filet de but
H: Un joueur de football jette une balle hors du but
L: 1","1","-1","Okay, let's see. I need to determine the relationship between the premise"
"Les gens marchent à l'extérieur d'un bâtiment qui a beaucoup de peintures murales sur elle","Les gens marchent à l'extérieur du bâtiment qui a plusieurs peintures murales sur elle","Ex 1:
P: Les gens marchent à l'extérieur du bâtiment qui a plusieurs peintures murales sur elle
H: Plusieurs personnes sont devant un bâtiment coloré
L: 0

Ex 2:
P: Les gens marchent à l'intérieur d'un bâtiment qui a beaucoup de peintures murales sur elle
H: Les gens marchent à l'extérieur d'un bâtiment qui a beaucoup de peintures murales sur elle
L: 1

Ex 3:
P: Plusieurs personnes sont devant un bâtiment coloré
H: Personne n'est devant le bâtiment coloré
L: 2

Ex 4:
P: Les gens marchent à l'extérieur d'un bâtiment qui a beaucoup de peintures murales sur elle
H: Personne n'est devant le bâtiment coloré
L: 1

Ex 5:
P: Certaines personnes marchent
H: Les gens marchent
L: 0","0","-1","Okay, let's see. I need to determine the label for this example"
"Peu de gens mangent à des tables rouges dans un restaurant sans lumières","Diverses personnes mangent à des tables rouges dans un restaurant bondé avec des lumières violettes","Ex 1:
P: Diverses personnes mangent à des tables rouges dans un restaurant bondé avec des lumières violettes
H: Un petit groupe de personnes attend pour manger dans un restaurant
L: 1

Ex 2:
P: Les gens sont assis à des tables carrées dans une salle rouge
H: Les gens sont assis à table dans une salle rouge
L: 0

Ex 3:
P: Un homme et deux femmes dans une pièce sombre sont assis à une table avec des bougies
H: Le groupe de personnes n'est pas assis dans une pièce sombre
L: 2

Ex 4:
P: Une foule violette de gens mange sur diverses tables de restaurant allumées rouges
H: Diverses personnes mangent à des tables rouges dans un restaurant bondé avec des lumières violettes
L: 1

Ex 5:
P: Un groupe d'Asiatiques mange dans un restaurant
H: Différents clients mangent dans un restaurant bondé avec des lumières violettes
L: 1","1","-1","Okay, let's try to figure out the label for this example. The"
"Quelqu'un est sur une moto en noir et blanc et est debout sur le siège","Un coureur est sur un vélo noir et blanc et est debout sur le siège","Ex 1:
P: Une personne sur une moto noire fait des tours avec une veste
H: Une personne fait du vélo sur une roue
L: 1

Ex 2:
P: Personne n'est sur une moto et est debout sur le siège
H: Quelqu'un est sur une moto en noir et blanc et est debout sur le siège
L: 2

Ex 3:
P: Un homme sur une moto est monté sur une roue
H: Une personne effectue des acrobaties sur une moto
L: 0

Ex 4:
P: Le coureur de moto est monté sur un vélo rouge et noir
H: Un homme est appuyé sur une moto de course
L: 1

Ex 5:
P: Une personne fait du vélo sur une roue
H: Un homme dans une veste noire fait des tours sur une moto
L: 1","0","-1","Okay, let's try to figure out the label for this example. So"
"Il n'y a pas de motocycliste à moto le long d'une chaussée","Un motocycliste avec un casque rouge conduit une moto bleue sur la route","Ex 1:
P: Un motocycliste sans casque attend sur une moto bleue près de la route
H: Un motocycliste conduit une moto le long d'une chaussée
L: 1

Ex 2:
P: Il n'y a pas de motocycliste à moto le long d'une chaussée
H: Un motocycliste conduit une moto le long d'une chaussée
L: 2

Ex 3:
P: Un homme avec un casque peint en rouge conduit une moto bleue sur la route
H: Un motocycliste avec un casque rouge conduit une moto bleue sur la route
L: 0

Ex 4:
P: Il n'y a pas de personne à moto dans l'événement lié au motocross
H: La personne monte une moto sur une piste sablonneuse
L: 1

Ex 5:
P: Une personne conduit une moto dans l'événement lié au motocross
H: La personne ne conduit pas une moto sur une piste sablonneuse
L: 1","2","-1","Okay, let's try to figure out the label for this example. The"
"Un motocycliste avec un casque rouge conduit une moto bleue sur la route","Un motocycliste conduit une moto le long d'une chaussée","Ex 1:
P: Un homme avec un casque peint en rouge conduit une moto bleue sur la route
H: Un motocycliste avec un casque rouge conduit une moto bleue sur la route
L: 0

Ex 2:
P: Un motocycliste sans casque attend sur une moto bleue près de la route
H: Un motocycliste conduit une moto le long d'une chaussée
L: 1

Ex 3:
P: Une personne conduit une moto
H: Une personne se tient près d'une moto
L: 2

Ex 4:
P: Un motocycliste conduit une moto dangereusement le long d'une chaussée
H: Un motocycliste conduit une moto le long d'une chaussée
L: 0

Ex 5:
P: Un coureur en pleine vitesse porte un casque avec des logos de sponsor et conduit une moto sport rouge
H: Une personne en uniforme de motocross porte un casque et conduit une moto rouge
L: 1","0","-1","Okay, let's try to figure out the label for this example. So"
"Il n'y a pas de chien qui saute dans l'air","Un chien saute haut dans les airs et un autre regarde","Ex 1:
P: Il n'y a pas de chien brun sautant dans l'air
H: Le chien brun saute dans l'air
L: 2

Ex 2:
P: Un chien saute haut dans l'air dans le pays
H: Aucun chien ne saute à l'ombre de certains arbres
L: 1

Ex 3:
P: Le chien brun saute dans l'air
H: Un chien brun saute dans l'air
L: 0

Ex 4:
P: Un chien brun saute dans l'air
H: Il n'y a pas de chien brun sautant dans l'air
L: 2

Ex 5:
P: Il n'y a pas de chien qui rebondit sur un trampoline
H: Un chien saute sur un trampoline
L: 2","2","-1","Okay, let's try to figure out the label for this example. The"
